,index,Unnamed: 0,archi,model_name,epochs,batch_size,bands,lr,unitary,opt,loss,train_loss,val_loss,train_iou,train_acc,metrics_by_epoch
0,0,,Archi1,./mod/quantum/Archi1/\ep9_lr0.001_time_19_44_57_idd82_val_loss0.2714232802391052_train_loss0.23784664273262024.model,10,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.001,,Adam,BCEWithLogitsLoss,0.2378,0.2714,,0.9617,"{1: {'train_loss': tensor(0.5416), 'val_loss': tensor(0.4967), 'train_iou': 0.013618503, 'train_acc': tensor(0.9347)}, 2: {'train_loss': tensor(0.4645), 'val_loss': tensor(0.4511), 'train_iou': 0.0022432157, 'train_acc': tensor(0.9564)}, 3: {'train_loss': tensor(0.4233), 'val_loss': tensor(0.4286), 'train_iou': 0.008421131, 'train_acc': tensor(0.9596)}, 4: {'train_loss': tensor(0.3882), 'val_loss': tensor(0.3861), 'train_iou': 0.0039207726, 'train_acc': tensor(0.9603)}, 5: {'train_loss': tensor(0.3537), 'val_loss': tensor(0.3627), 'train_iou': 0.0013717036, 'train_acc': tensor(0.9609)}, 6: {'train_loss': tensor(0.3210), 'val_loss': tensor(0.3344), 'train_iou': 0.00088315684, 'train_acc': tensor(0.9615)}, 7: {'train_loss': tensor(0.2965), 'val_loss': tensor(0.3099), 'train_iou': 0.0025093697, 'train_acc': tensor(0.9617)}, 8: {'train_loss': tensor(0.2727), 'val_loss': tensor(0.2975), 'train_iou': 0.0, 'train_acc': tensor(0.9617)}, 9: {'train_loss': tensor(0.2541), 'val_loss': tensor(0.2726), 'train_iou': 6.0716455e-05, 'train_acc': tensor(0.9617)}, 10: {'train_loss': tensor(0.2378), 'val_loss': tensor(0.2714), 'train_iou': 0.0, 'train_acc': tensor(0.9617)}}"
1,0,,Archi2,./mod/quantum/Archi2/\ep4_lr0.001_time_05_39_18_idd33_val_loss0.30793535709381104_train_loss0.2971135377883911.model,5,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.001,,Adam,BCEWithLogitsLoss,0.2971,0.3079,,0.9617,"{1: {'train_loss': tensor(0.5329), 'val_loss': tensor(0.4801), 'train_iou': 0.025464851, 'train_acc': tensor(0.9096)}, 2: {'train_loss': tensor(0.4380), 'val_loss': tensor(0.4214), 'train_iou': 0.0039644632, 'train_acc': tensor(0.9578)}, 3: {'train_loss': tensor(0.3789), 'val_loss': tensor(0.3748), 'train_iou': 0.00073479145, 'train_acc': tensor(0.9606)}, 4: {'train_loss': tensor(0.3337), 'val_loss': tensor(0.3436), 'train_iou': 0.000119290744, 'train_acc': tensor(0.9616)}, 5: {'train_loss': tensor(0.2971), 'val_loss': tensor(0.3079), 'train_iou': 6.40041e-06, 'train_acc': tensor(0.9617)}}"
2,0,,Archi3,./mod/quantum/Archi3/\ep4_lr0.001_time_14_58_38_idd23_val_loss0.2213929146528244_train_loss0.17518773674964905.model,5,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.001,,Adam,BCEWithLogitsLoss,0.1752,0.2214,,0.9627,"{1: {'train_loss': tensor(0.4848), 'val_loss': tensor(0.3670), 'train_iou': 0.019754598, 'train_acc': tensor(0.8545)}, 2: {'train_loss': tensor(0.2813), 'val_loss': tensor(0.2821), 'train_iou': 3.31071e-05, 'train_acc': tensor(0.9620)}, 3: {'train_loss': tensor(0.2221), 'val_loss': tensor(0.2544), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 4: {'train_loss': tensor(0.1936), 'val_loss': tensor(0.2370), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 5: {'train_loss': tensor(0.1752), 'val_loss': tensor(0.2214), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}}"
3,1,,Archi3,./mod/quantum/Archi3/\ep4_lr0.01_time_15_40_14_idd81_val_loss0.24583999812602997_train_loss0.16387203335762024.model,5,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.01,,Adam,BCEWithLogitsLoss,0.1639,0.2458,,0.9627,"{1: {'train_loss': tensor(0.1980), 'val_loss': tensor(0.2869), 'train_iou': 0.0005935105, 'train_acc': tensor(0.9446)}, 2: {'train_loss': tensor(0.1754), 'val_loss': tensor(0.1967), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 3: {'train_loss': tensor(0.1669), 'val_loss': tensor(0.3590), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 4: {'train_loss': tensor(0.1630), 'val_loss': tensor(0.2465), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 5: {'train_loss': tensor(0.1639), 'val_loss': tensor(0.2458), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}}"
4,2,,Archi3,./mod/quantum/Archi3/\ep4_lr0.001_time_16_18_38_idd36_val_loss0.24234943091869354_train_loss0.1773243099451065.model,5,10.0,"[12, 13]",0.001,,Adam,BCEWithLogitsLoss,0.1773,0.2423,,0.9626,"{1: {'train_loss': tensor(0.4495), 'val_loss': tensor(0.3557), 'train_iou': 0.01036006, 'train_acc': tensor(0.8843)}, 2: {'train_loss': tensor(0.2778), 'val_loss': tensor(0.2811), 'train_iou': 0.0, 'train_acc': tensor(0.9624)}, 3: {'train_loss': tensor(0.2189), 'val_loss': tensor(0.2878), 'train_iou': 0.0, 'train_acc': tensor(0.9623)}, 4: {'train_loss': tensor(0.1908), 'val_loss': tensor(0.2492), 'train_iou': 0.0004548408, 'train_acc': tensor(0.9625)}, 5: {'train_loss': tensor(0.1773), 'val_loss': tensor(0.2423), 'train_iou': 0.0, 'train_acc': tensor(0.9626)}}"
5,3,,Archi3,./mod/quantum/Archi3/\ep4_lr0.01_time_16_56_44_idd68_val_loss0.2922598719596863_train_loss0.16594970226287842.model,5,10.0,"[12, 13]",0.01,,Adam,BCEWithLogitsLoss,0.1659,0.2923,,0.9627,"{1: {'train_loss': tensor(0.1973), 'val_loss': tensor(0.2497), 'train_iou': 0.0007436072, 'train_acc': tensor(0.9496)}, 2: {'train_loss': tensor(0.1788), 'val_loss': tensor(0.2524), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 3: {'train_loss': tensor(0.1707), 'val_loss': tensor(0.2550), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 4: {'train_loss': tensor(0.1661), 'val_loss': tensor(0.2306), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 5: {'train_loss': tensor(0.1659), 'val_loss': tensor(0.2923), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}}"
6,4,,Archi3,./mod/quantum/Archi3/\ep9_lr0.001_time_18_55_46_idd70_val_loss0.21648073196411133_train_loss0.15878400206565857.model,10,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.001,U_TTN,Adam,BCEWithLogitsLoss,0.1588,0.2165,,0.9625,"{1: {'train_loss': tensor(0.5974), 'val_loss': tensor(0.4688), 'train_iou': 0.028257445, 'train_acc': tensor(0.7353)}, 2: {'train_loss': tensor(0.3827), 'val_loss': tensor(0.3517), 'train_iou': 0.0024189146, 'train_acc': tensor(0.9579)}, 3: {'train_loss': tensor(0.2829), 'val_loss': tensor(0.2895), 'train_iou': 0.0, 'train_acc': tensor(0.9626)}, 4: {'train_loss': tensor(0.2274), 'val_loss': tensor(0.2808), 'train_iou': 0.0, 'train_acc': tensor(0.9624)}, 5: {'train_loss': tensor(0.1963), 'val_loss': tensor(0.2511), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 6: {'train_loss': tensor(0.1798), 'val_loss': tensor(0.2517), 'train_iou': 0.0, 'train_acc': tensor(0.9626)}, 7: {'train_loss': tensor(0.1720), 'val_loss': tensor(0.2067), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 8: {'train_loss': tensor(0.1634), 'val_loss': tensor(0.2179), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 9: {'train_loss': tensor(0.1563), 'val_loss': tensor(0.2247), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 10: {'train_loss': tensor(0.1588), 'val_loss': tensor(0.2165), 'train_iou': 0.0, 'train_acc': tensor(0.9625)}}"
7,5,,Archi3,./mod/quantum/Archi3/\ep9_lr0.01_time_20_40_09_idd76_val_loss0.21336977183818817_train_loss0.1599767506122589.model,10,10.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",0.01,U_TTN,Adam,BCEWithLogitsLoss,0.16,0.2134,,0.9627,"{1: {'train_loss': tensor(0.1889), 'val_loss': tensor(0.2761), 'train_iou': 0.0016622429, 'train_acc': tensor(0.9584)}, 2: {'train_loss': tensor(0.1833), 'val_loss': tensor(0.2744), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 3: {'train_loss': tensor(0.1661), 'val_loss': tensor(0.2034), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 4: {'train_loss': tensor(0.1623), 'val_loss': tensor(0.1987), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 5: {'train_loss': tensor(0.1597), 'val_loss': tensor(0.2493), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 6: {'train_loss': tensor(0.1600), 'val_loss': tensor(0.2815), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 7: {'train_loss': tensor(0.1589), 'val_loss': tensor(0.2657), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 8: {'train_loss': tensor(0.1587), 'val_loss': tensor(0.2293), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 9: {'train_loss': tensor(0.1593), 'val_loss': tensor(0.2607), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 10: {'train_loss': tensor(0.1600), 'val_loss': tensor(0.2134), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}}"
8,6,,Archi3,./mod/quantum/Archi3/\ep9_lr0.001_time_21_55_17_idd57_val_loss0.29154664278030396_train_loss0.16214428842067719.model,10,10.0,"[12, 13]",0.001,U_TTN,Adam,BCEWithLogitsLoss,0.1621,0.2915,,0.9627,"{1: {'train_loss': tensor(0.4845), 'val_loss': tensor(0.3695), 'train_iou': 0.017174382, 'train_acc': tensor(0.8793)}, 2: {'train_loss': tensor(0.2919), 'val_loss': tensor(0.2867), 'train_iou': 0.00066476734, 'train_acc': tensor(0.9623)}, 3: {'train_loss': tensor(0.2277), 'val_loss': tensor(0.2533), 'train_iou': 0.0, 'train_acc': tensor(0.9626)}, 4: {'train_loss': tensor(0.1996), 'val_loss': tensor(0.2126), 'train_iou': 5.1387462e-05, 'train_acc': tensor(0.9624)}, 5: {'train_loss': tensor(0.1835), 'val_loss': tensor(0.2209), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 6: {'train_loss': tensor(0.1717), 'val_loss': tensor(0.2287), 'train_iou': 0.0, 'train_acc': tensor(0.9626)}, 7: {'train_loss': tensor(0.1645), 'val_loss': tensor(0.2609), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 8: {'train_loss': tensor(0.1637), 'val_loss': tensor(0.2566), 'train_iou': 0.0, 'train_acc': tensor(0.9626)}, 9: {'train_loss': tensor(0.1624), 'val_loss': tensor(0.2666), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 10: {'train_loss': tensor(0.1621), 'val_loss': tensor(0.2915), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}}"
9,7,,Archi3,./mod/quantum/Archi3/\ep9_lr0.01_time_23_27_46_idd8_val_loss0.2311023771762848_train_loss0.16031284630298615.model,10,10.0,"[12, 13]",0.01,U_TTN,Adam,BCEWithLogitsLoss,0.1603,0.2311,,0.9627,"{1: {'train_loss': tensor(0.1822), 'val_loss': tensor(0.2526), 'train_iou': 0.0007362686, 'train_acc': tensor(0.9608)}, 2: {'train_loss': tensor(0.1763), 'val_loss': tensor(0.2767), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 3: {'train_loss': tensor(0.1719), 'val_loss': tensor(0.2608), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 4: {'train_loss': tensor(0.1651), 'val_loss': tensor(0.2743), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 5: {'train_loss': tensor(0.1665), 'val_loss': tensor(0.2389), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 6: {'train_loss': tensor(0.1651), 'val_loss': tensor(0.2292), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 7: {'train_loss': tensor(0.1638), 'val_loss': tensor(0.2591), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 8: {'train_loss': tensor(0.1625), 'val_loss': tensor(0.2515), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 9: {'train_loss': tensor(0.1620), 'val_loss': tensor(0.2458), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}, 10: {'train_loss': tensor(0.1603), 'val_loss': tensor(0.2311), 'train_iou': 0.0, 'train_acc': tensor(0.9627)}}"
